BP_from,BP_to,X_S42,Y_S42
4200,2725,3454932,5421824
2725,2340,3414441,5608959
5800,5300,3472883,5559380
2420,1560,3437652,5484734
7450,6850,3626729,5503634
3200,2950,3480925,5546995
1760,1560,3376503,5515385
6950,6200,3508531,5547706
7450,6850,3429571,5526795
7550,1380,3426796,5530734
3200,2725,3422494,5524614
2420,1988,3478799,5553610
3200,2950,3420642,5612756
2725,2340,3482858,5559563
2563,2420,3432551,5521744
3200,2950,3378722,5492585
5800,5300,3460518,5536631
3200,2950,3448908,5467134
7550,1380,3435098,5465105
2420,1988,3567928,5535921
3600,3225,3458675,5550470
3200,2950,3388506,5581864
7550,1380,3404187,5490945
2725,2340,3404956,5573892
7550,6200,3418110,5565938
2950,2725,3480183,5559681
4200,3550,3433830,5442795
2420,1988,3413122,5462219
2485,2340,3434216,5480665
4800,4450,3388791,5570340
2485,2340,3433299,5441012
3200,2950,3477179,5547778
7450,6850,3478359,5553369
6200,4200,3468426,5546861
6900,6550,3437720,5537575
2950,2725,3518243,5533206
2725,2340,3443506,5553104
1980,1560,3409346,5604532
2420,2340,3450478,5440292
7550,1380,3479673,5560107
2950,2725,3477200,5558982
2950,2725,3457638,5536966
1980,1760,3494061,5583044
4200,3550,3468165,5555759
2725,2340,3457200,5558763
2950,2725,3457758,5536985
2950,2725,3473431,5560311
2950,2725,3386986,5587280
3200,2950,3384814,5514118
6200,4200,3457184,5549052
